start,end,summed_net_load,file_name
1993-11-21 18:00:00,1993-11-28 17:00:00,21052660.390426822,1993_181_90m_c1.25_Co2L0.0-1H.nc
2003-01-04 09:00:00,2003-01-11 08:00:00,23315549.09194337,2002_181_90m_c1.25_Co2L0.0-1H.nc
2019-11-13 06:00:00,2019-11-20 05:00:00,18090773.993305173,2019_181_90m_c1.25_Co2L0.0-1H.nc
